
                                             CodeAnalysis
    ==============================================================================================
     Mon Feb  6 23:35:00 2017
     Path: "C:\Users\Varun\Documents\Visual Studio 2015\Projects\Remote_TestHarness"
     Args: *.h, *.cpp, *.cs, Remote_TestHarness.sln, Remote_TestHarness.sln, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
             Repository.cs    function                               Main     207      20       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
     Resources.Designer.cs   namespace                            Client3      12      60       9
     Resources.Designer.cs       class                          Resources      26      46       8
     Resources.Designer.cs    function           SuppressMessageAttribute      34       2       1
     Resources.Designer.cs    function           EditorBrowsableAttribute      42      11       3
     Resources.Designer.cs    function           EditorBrowsableAttribute      60      10       3
     Resources.Designer.cs   namespace                           Client_1      12      60       9
     Resources.Designer.cs       class                          Resources      26      46       8
     Resources.Designer.cs    function           SuppressMessageAttribute      34       2       1
     Resources.Designer.cs    function           EditorBrowsableAttribute      42      11       3
     Resources.Designer.cs    function           EditorBrowsableAttribute      60      10       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          Serialization.cs   namespace                 Remote_TestHarness      47     105      20
          Serialization.cs       class                       ToAndFromXml      49      43       8
          Serialization.cs    function                              ToXml      53      22       4
          Serialization.cs    function                              using      64       3       1
          Serialization.cs    function                                  >      78      12       3
          Serialization.cs       class                          Utilities      92       8       2
          Serialization.cs    function                              title      94       4       1
          Serialization.cs       class                             Widget     103      16       5
          Serialization.cs    function                             Widget     106       2       1
          Serialization.cs    function                             Widget     109       3       1
          Serialization.cs    function                            getName     113       3       1
          Serialization.cs       class               TestXmlSerialization     120      32       4
          Serialization.cs    function                               Main     123      26       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
      Settings.Designer.cs   namespace                            Client3      12      19       4
      Settings.Designer.cs       class                           Settings      18      13       3
      Settings.Designer.cs   namespace                           Client_1      12      19       4
      Settings.Designer.cs       class                           Settings      18      13       3
      Settings.Designer.cs   namespace                 Remote_TestHarness      11      52      13
      Settings.Designer.cs       class                           Settings      16      47      12
      Settings.Designer.cs    function         UserScopedSettingAttribute      29       8       3
      Settings.Designer.cs    function         UserScopedSettingAttribute      41       8       3
      Settings.Designer.cs    function         UserScopedSettingAttribute      53       8       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               TestCode.cs   namespace                 Remote_TestHarness      41      33       7
               TestCode.cs       class                           TestCode      43      30       6
               TestCode.cs    function                          MaxHeight      45      18       3
               TestCode.cs    function                               Main      66       5       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              TestCode2.cs   namespace                 Remote_TestHarness      41      32       7
              TestCode2.cs       class                          TestCode2      43      30       6
              TestCode2.cs    function                          MaxHeight      45      18       3
              TestCode2.cs    function                               Main      65       5       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              TestCode3.cs   namespace                 Remote_TestHarness      41      18       4
              TestCode3.cs       class                          TestCode3      43      16       3
              TestCode3.cs    function                             Divide      45       3       1
              TestCode3.cs    function                               Main      51       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              TestCode4.cs   namespace                 Remote_TestHarness      41      18       4
              TestCode4.cs       class                          TestCode4      43      16       3
              TestCode4.cs    function                             Divide      45       3       1
              TestCode4.cs    function                               Main      51       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             TestDriver.cs   namespace                 Remote_TestHarness      42      29       6
             TestDriver.cs       class                         TestDriver      44      27       5
             TestDriver.cs    function                               test      46       7       2
             TestDriver.cs    function                             getLog      54       3       1
             TestDriver.cs    function                               Main      60       8       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestDriver2.cs   namespace                 Remote_TestHarness      42      29       6
            TestDriver2.cs       class                        TestDriver2      44      27       5
            TestDriver2.cs    function                               test      46       7       2
            TestDriver2.cs    function                             getLog      54       3       1
            TestDriver2.cs    function                               Main      60       8       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestDriver3.cs   namespace                 Remote_TestHarness      42      28       5
            TestDriver3.cs       class                        TestDriver3      44      26       4
            TestDriver3.cs    function                               test      46       6       1
            TestDriver3.cs    function                             getLog      53       3       1
            TestDriver3.cs    function                               Main      59       8       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestDriver4.cs   namespace                 Remote_TestHarness      42      28       5
            TestDriver4.cs       class                        TestDriver4      44      26       4
            TestDriver4.cs    function                               test      46       6       1
            TestDriver4.cs    function                             getLog      53       3       1
            TestDriver4.cs    function                               Main      59       8       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestHarness.cs   namespace                 Remote_TestHarness      58     485      63
            TestHarness.cs       class                           Callback      62       7       2
            TestHarness.cs    function                        sendMessage      64       3       1
            TestHarness.cs       class                               Test      74       5       3
            TestHarness.cs       class                        RequestInfo      80       5       3
            TestHarness.cs       class                        TestHarness      86     457      54
            TestHarness.cs    function                        TestHarness     108      12       1
            TestHarness.cs    function                          setClient     122       3       1
            TestHarness.cs    function                    sendTestRequest     127       5       1
            TestHarness.cs    function                        sendMessage     134       3       1
            TestHarness.cs    function                            makeKey     140      15       1
            TestHarness.cs    function                       extractTests     158      18       3
            TestHarness.cs    function                        extractCode     179       6       1
            TestHarness.cs    function               CreateServiceChannel     188      12       1
            TestHarness.cs    function         processRequestAndLoadFiles     202      40       6
            TestHarness.cs    function                               lock     213       4       1
            TestHarness.cs    function                               lock     232       3       1
            TestHarness.cs    function                           download     244      31       3
            TestHarness.cs    function                              using     258      11       2
            TestHarness.cs    function                 saveResultsAndLogs     278      26       4
            TestHarness.cs    function                           runTests     307      46       8
            TestHarness.cs    function                               lock     316       5       1
            TestHarness.cs    function             makeTestResultsMessage     356      33       2
            TestHarness.cs    function                   MakeErrorMessage     391      10       1
            TestHarness.cs    function                               wait     404       4       1
            TestHarness.cs    function                    processMessages     411      40       5
            TestHarness.cs    function                                  =     416      27       4
            TestHarness.cs    function                               lock     437       5       1
            TestHarness.cs    function                      rcvThreadProc     453      13       2
            TestHarness.cs    function                     showAssemblies     469       5       1
            TestHarness.cs    function               createChildAppDomain     477      28       3
            TestHarness.cs    function                      installLoader     508      23       1
            TestHarness.cs    function                               Main     532       9       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
       UserControl1.g.i.cs   namespace                 Remote_TestHarness      35      40       5
       UserControl1.g.i.cs       class                       UserControl1      41      34       4
       UserControl1.g.i.cs    function       DebuggerNonUserCodeAttribute      50      13       2
       UserControl1.g.i.cs    function       DebuggerNonUserCodeAttribute      70       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              XmlParser.cs   namespace                 Remote_TestHarness      48      76      15
              XmlParser.cs       class                          XmlParser      51      73      14
              XmlParser.cs    function                           ParseXml      64      32       2
              XmlParser.cs    function                        XmltoString      98      13       3
              XmlParser.cs    function                               Main     113       7       1

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           Client_1.g.i.cs    function       DebuggerNonUserCodeAttribute     165      72       2
          Client_1.xaml.cs    function                OnNewMessageHandler     286      70      12
            LoadAndTest.cs    function                               test      85     104      18
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     165      72       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     133      54       2
        MainWindow.xaml.cs    function                OnNewMessageHandler     296      74      12



    searched   219 dirs
   processed   140 files
